name,series_id,frame_id,annotator_id,length_px,radius_median_px,signal_mean
p0001_00000001_f0018_4,00000001,f0018,4,20.071,8.062,0.79419
p0001_00000001_f0018_4,00000001,f0018,4,6.657,12.062,0.80348
p0001_00000001_f0018_4,00000001,f0018,4,7.828,3.606,0.57369
p0001_00000001_f0018_4,00000001,f0018,4,3.828,8.773,0.83396
p0001_00000001_f0018_4,00000001,f0018,4,23.414,9.0,0.77581
p0001_00000001_f0018_4,00000001,f0018,4,5.243,11.662,0.83731
p0001_00000001_f0018_4,00000001,f0018,4,13.657,7.0,0.79564
p0001_00000001_f0018_4,00000001,f0018,4,23.657,7.0,0.54997
p0001_00000001_f0018_4,00000001,f0018,4,31.485,5.0,0.4791
p0001_00000001_f0018_4,00000001,f0018,4,2.828,6.403,0.75373
p0001_00000001_f0018_4,00000001,f0018,4,4.828,7.616,0.57612
p0001_00000001_f0018_4,00000001,f0018,4,9.071,7.211,0.8778
p0001_00000001_f0018_4,00000001,f0018,4,11.899,9.22,0.60597
p0001_00000001_f0018_4,00000001,f0018,4,22.071,6.0,0.68372
p0001_00000001_f0018_4,00000001,f0018,4,8.071,5.385,0.67804
p0001_00000001_f0018_4,00000001,f0018,4,7.071,7.81,0.59204
p0001_00000001_f0018_4,00000001,f0018,4,6.657,7.211,0.67164
p0001_00000001_f0018_4,00000001,f0018,4,6.243,5.05,0.6306
p0001_00000001_f0018_4,00000001,f0018,4,37.314,8.0,0.72729
p0001_00000001_f0018_4,00000001,f0018,4,3.414,7.448,0.69403
p0001_00000001_f0018_4,00000001,f0018,4,24.657,5.0,0.66667
p0001_00000001_f0018_4,00000001,f0018,4,5.414,5.0,0.6704
p0001_00000001_f0018_4,00000001,f0018,4,9.243,5.099,0.63433
p0001_00000001_f0018_4,00000001,f0018,4,15.243,5.0,0.6597
p0001_00000001_f0018_4,00000001,f0018,4,21.071,3.606,0.62015
p0001_00000001_f0019_4,00000001,f0019,4,19.243,6.0,0.24211
p0001_00000001_f0019_4,00000001,f0019,4,21.243,8.0,0.41199
p0001_00000001_f0019_4,00000001,f0019,4,21.828,6.708,0.43199
